State/UT,2015,2016,2017,2018,2019,2020,2021,2022,Population(2015),Rate(2015),Population(2016),Rate(2016),Population(2017),Rate(2017),Population(2018),Rate(2018),Population(2019),Rate(2019),Population(2020),Rate(2020),Population(2021),Rate(2021),Population(2022),Rate(2022)
Andhra Pradesh,126448,129389,148002,144703,145751,238105,222199,195284,513.4,215.6,517.4,250.1,521.3,283.9,520.3,278.1,523.2,278.6,526,452.7,528.5,420.4,530.3,368.2
Arunachal Pradesh,3149,2700,2746,2817,2877,2503,3039,2761,13,227.8,13.2,204.5,13.3,206.3,14.9,188.7,15.1,190.9,15.2,164.5,15.4,197.7,15.5,178
Assam,107465,107014,109952,120573,132783,121609,133239,68937,322,321.8,325.8,328.5,329.3,333.9,340.4,354.2,344.2,385.8,347.9,349.5,351.6,379,354.9,194.2
Bihar,195412,189696,236055,262815,269109,257512,282083,347835,1031.4,171.6,1043,181.9,1054.5,223.9,1183.3,222.1,1201.1,224,1219,211.3,1237,228,1255.3,277.1
Chhattisgarh,87255,84192,90516,98233,96561,103173,110633,121065,256.6,220.9,259.9,323.9,262.9,344.3,284.7,345.1,288.5,334.7,292.4,352.9,296.1,373.7,299.5,404.2
Goa,4556,3706,3943,3884,3727,4366,2991,3679,19.7,156.4,19.9,186.2,20.4,193.5,15.3,253.2,15.4,241.5,15.5,281.1,15.6,191.6,15.7,234.5
Gujarat,434043,435422,334799,393194,431066,699619,731738,524103,623.3,203.6,630.8,690.3,637.7,525,673.2,584.1,682.5,631.6,691.7,1011.4,700.8,1044.2,709.3,738.9
Haryana,131989,143111,224816,191229,166336,192395,206431,242849,272.2,310.4,276.1,518.3,280,802.9,284,673.3,288.1,577.4,292.1,658.6,296,697.3,299.7,810.4
Himachal Pradesh,17221,17249,17796,19594,19924,20630,18833,19053,70.6,198.5,71.2,242.3,71.7,248.2,72.7,269.6,73.2,272.4,73.6,280.2,74.1,254.3,74.4,256
Jharkhand,25310,26624,25608,55664,62206,63570,60765,64359,123.4,191.2,124.6,213.7,125.9,203.4,134.3,203.1,135.3,187.8,381.2,166.8,386.4,157.3,391.4,164.5
Karnataka,52911,47817,52664,163416,163691,150080,163697,180742,333.5,135.1,338,141.5,342.1,153.9,370.5,150.3,375.8,165.5,665,225.7,669.9,244.4,674.1,268.1
Kerala,170866,179479,184063,512167,453083,554724,524960,454836,619.9,224,625.7,286.8,630.9,291.7,654.5,249.7,659.7,248.1,353.7,1568.4,355.4,1477.2,356.8,1274.8
Madhya Pradesh,653408,707870,653500,405129,395619,428046,475918,488966,355.5,723.2,357.5,1980.1,359.4,1818.4,350,1463.2,351.9,1287.7,837.6,511.1,848.6,560.8,858.9,569.3
Maharashtra,358505,365154,379682,515674,509433,539003,540800,557012,771.3,348.3,782.6,466.6,793.3,478.6,814.7,497.3,826.1,478.9,1236.8,435.8,1247.6,433.5,1257.4,443
Manipur,423179,430866,467753,3781,3661,2986,3204,3914,1191.4,231.2,1205.5,357.4,1219.9,383.4,1213.9,424.8,1225.3,415.8,31.4,95,31.7,101,32,122.3
Meghalaya,4851,4098,4250,3482,3897,3744,3428,3625,25.7,149.5,26,157.6,26.3,161.7,30.8,122.8,31.1,117.7,32.6,114.7,33,104,33.3,109
Mizoram,4406,3582,3952,2351,2880,2289,3196,4133,27.5,148.2,27.8,128.8,28.1,140.5,32,108.8,32.3,120.6,12.1,189.6,12.2,262.2,12.3,336
Nagaland,2575,2800,2738,1775,1661,1511,1478,1592,10.6,211.2,10.7,261.7,10.8,254,11.8,198.6,12,241,21.8,69.4,22,67.2,22.2,71.8
Odisha,1928,1908,1553,107408,121525,134230,155420,178190,23.6,55.1,23.9,79.8,24.1,64.4,21.3,83.2,21.6,77.1,454.7,295.2,457.9,339.4,460.8,386.7
Punjab,103208,103565,103866,70318,72855,82875,73581,73625,422.5,197.3,425.9,243.2,429.2,242,435.5,246.6,437.3,277.9,301.8,274.6,304,242,306,240.6
Rajasthan,60236,57739,70673,250546,304394,260378,284569,312804,289.4,131.2,292,197.7,294.6,239.9,297,236.8,299.4,243.3,786.1,331.2,795.7,357.6,804.4,388.8
Sikkim,262176,251147,245553,869,821,675,728,819,723.1,273.9,732.8,342.7,742.5,330.7,765.9,327.1,776,392.3,6.7,100.4,6.8,107.4,6.8,119.7
Tamil Nadu,950,1020,979,499188,455094,1377681,756753,473456,6.4,119.3,6.5,156.9,6.6,149.2,6.6,131.9,6.7,123.5,761.7,1808.8,764.8,989.5,767.1,617.2
Telangana,442162,467369,420876,126858,131254,147504,158809,165830,691.6,271.2,695.2,672.3,698.4,602.6,754.6,661.5,758.1,600.3,375.4,393,377.7,420.5,379.5,436.9
Tripura,122778,120273,133197,6078,5988,4653,4788,4532,365.6,290.7,368.5,326.4,371.3,358.7,370.3,342.6,372.8,352,40.4,115.1,40.8,117.3,41.2,110.1
Uttar Pradesh,4864,4081,4238,585157,628578,657925,608082,753675,38,123.5,38.4,106.3,38.8,109.2,39.6,153.4,40,149.6,2289.3,287.4,2317,262.4,2340.9,322
Uttarakhand,474559,494025,600082,34715,28268,57332,34875,34607,2158.4,112.1,2192.4,225.3,2226.1,269.6,2230,262.4,2259.7,278.2,113.1,506.8,114.4,304.9,115.6,299.4
West Bengal,15044,16074,28861,188063,188049,182367,181821,180539,105.4,97.2,106.8,150.5,108,267.1,110.6,314,111.8,252.8,977.2,186.6,982.9,185,987.6,182.8
Total State (S),206278,204400,195537,4769681,4801091,6291485,5748058,5462822,930,193,938.3,217.8,946,206.7,965,194.9,971.1,193.7,13151.8,478.4,13283.6,432.7,13403,407.6
Andaman and Nicobar Islands,4497732,4602370,4748250,3699,4034,2542,1332,1589,12334.8,222.9,12476.2,368.9,12613.4,376.4,12997.9,369.1,13135.2,367.4,4,637.1,4,332.2,4,395.3
Chandigarh,3059,2491,3014,5967,4518,3254,2995,3658,5.5,157.9,5.5,452.9,5.7,531.6,4,934.1,4,1013.6,12,271.6,12.1,247.1,12.2,299.1
Dadra and Nagar Haveli and Daman and Diu,5113,4256,5462,649,660,533,579,1273,17.4,186.5,18,236.4,18.9,289.5,11.7,510,11.8,381.6,10.4,51.3,11.1,52.3,12,106
Delhi,303,256,309,262612,316261,266070,306389,320274,4.2,64.4,4.3,59.5,4.4,69.9,5.3,60,5.6,52.2,203.2,1309.5,207,1479.9,211,1518.2
Jammu and Kashmir,319,287,382,27276,25408,28911,31675,30197,3.2,94.1,3.3,87,3.5,109.5,4,84.6,4.2,87.5,133.4,216.7,134.4,235.7,135.4,223.1
Ladakh,199976,216920,244714,NA,NA,403,559,478,208.8,916.8,214.9,1009.4,221,1107.1,195.6,1342.5,199.4,1586.1,3,136.1,3,187.6,3,159.9
Lakshadweep,65,50,114,77,182,147,128,97,0.8,62.5,0.8,62.5,0.8,139,0.7,114.9,0.7,267.6,0.7,216.2,0.7,188.2,0.7,140.6
Puducherry,4109,4885,4799,4674,4004,7940,4595,4558,16.5,209.1,16.8,290.8,17.6,273.4,14.8,315.6,15.2,264.3,15.5,512.6,15.8,290.1,16.2,281.2
Total UT (S),212944,229145,258794,304954,355067,309800,348252,362124,256.3,778.7,263.7,869,271.9,951.9,236,1176.9,240.8,1368.8,382.1,810.8,388.1,897.2,394.5,918
Total All India,4710676,4831515,5007044,5074635,5156158,6601285,6096310,5824946,12591.1,234.2,12739.9,379.3,12885.3,388.6,13233.8,383.5,13376.1,385.5,13533.9,487.8,13671.8,445.9,13797.5,422.2